class_id,concept_id,concept_name
n01440764,n00015388,animal
n01443537,n00015388,animal
n01484850,n00015388,animal
n01491361,n00015388,animal
n01494475,n00015388,animal
n01496331,n00015388,animal
n01498041,n00015388,animal
n01514668,n01503061,bird
n01514859,n01503061,bird
n01518878,n01503061,bird
n01530575,n01503061,bird
n01531178,n01503061,bird
n01532829,n01503061,bird
n01534433,n01503061,bird
n01537544,n01503061,bird
n01558993,n01503061,bird
n01560419,n01503061,bird
n01580077,n01503061,bird
n01582220,n01503061,bird
n01592084,n01503061,bird
n01601694,n01503061,bird
n01608432,n01503061,bird
n01614925,n01503061,bird
n01616318,n01503061,bird
n01622779,n01503061,bird
n01629819,n00015388,animal
n01630670,n00015388,animal
n01631663,n00015388,animal
n01632458,n00015388,animal
n01632777,n00015388,animal
n01641577,n00015388,animal
n01644373,n00015388,animal
n01644900,n00015388,animal
n01664065,n00015388,animal
n01665541,n00015388,animal
n01667114,n00015388,animal
n01667778,n00015388,animal
n01669191,n00015388,animal
n01675722,n00015388,animal
n01677366,n00015388,animal
n01682714,n00015388,animal
n01685808,n00015388,animal
n01687978,n00015388,animal
n01688243,n00015388,animal
n01689811,n00015388,animal
n01692333,n00015388,animal
n01693334,n00015388,animal
n01694178,n00015388,animal
n01695060,n00015388,animal
n01697457,n00015388,animal
n01698640,n00015388,animal
n01704323,n00015388,animal
n01728572,n00015388,animal
n01728920,n00015388,animal
n01729322,n00015388,animal
n01729977,n00015388,animal
n01734418,n00015388,animal
n01735189,n00015388,animal
n01737021,n00015388,animal
n01739381,n00015388,animal
n01740131,n00015388,animal
n01742172,n00015388,animal
n01744401,n00015388,animal
n01748264,n00015388,animal
n01749939,n00015388,animal
n01751748,n00015388,animal
n01753488,n00015388,animal
n01755581,n00015388,animal
n01756291,n00015388,animal
n01768244,n00015388,animal
n01770081,n00015388,animal
n01770393,n00015388,animal
n01773157,n00015388,animal
n01773549,n00015388,animal
n01773797,n00015388,animal
n01774384,n00015388,animal
n01774750,n00015388,animal
n01775062,n00015388,animal
n01776313,n00015388,animal
n01784675,n00015388,animal
n01795545,n01503061,bird
n01796340,n01503061,bird
n01797886,n01503061,bird
n01798484,n01503061,bird
n01806143,n01503061,bird
n01806567,n01503061,bird
n01807496,n01503061,bird
n01817953,n01503061,bird
n01818515,n01503061,bird
n01819313,n01503061,bird
n01820546,n01503061,bird
n01824575,n01503061,bird
n01828970,n01503061,bird
n01829413,n01503061,bird
n01833805,n01503061,bird
n01843065,n01503061,bird
n01843383,n01503061,bird
n01847000,n01503061,bird
n01855032,n01503061,bird
n01855672,n01503061,bird
n01860187,n01503061,bird
n01871265,n01861778,mammal
n01872401,n01861778,mammal
n01873310,n01861778,mammal
n01877812,n01861778,mammal
n01882714,n01861778,mammal
n01883070,n01861778,mammal
n01910747,n00015388,animal
n01914609,n00015388,animal
n01917289,n00015388,animal
n01924916,n00015388,animal
n01930112,n00015388,animal
n01943899,n00015388,animal
n01944390,n00015388,animal
n01945685,n00015388,animal
n01950731,n00015388,animal
n01955084,n00015388,animal
n01968897,n00015388,animal
n01978287,n00015388,animal
n01978455,n00015388,animal
n01980166,n00015388,animal
n01981276,n00015388,animal
n01983481,n00015388,animal
n01984695,n00015388,animal
n01985128,n00015388,animal
n01986214,n00015388,animal
n01990800,n00015388,animal
n02002556,n01503061,bird
n02002724,n01503061,bird
n02006656,n01503061,bird
n02007558,n01503061,bird
n02009229,n01503061,bird
n02009912,n01503061,bird
n02011460,n01503061,bird
n02012849,n01503061,bird
n02013706,n01503061,bird
n02017213,n01503061,bird
n02018207,n01503061,bird
n02018795,n01503061,bird
n02025239,n01503061,bird
n02027492,n01503061,bird
n02028035,n01503061,bird
n02033041,n01503061,bird
n02037110,n01503061,bird
n02051845,n01503061,bird
n02056570,n01503061,bird
n02058221,n01503061,bird
n02066245,n01861778,mammal
n02071294,n01861778,mammal
n02074367,n01861778,mammal
n02077923,n01861778,mammal
n02085620,n02084071,dog
n02085782,n02084071,dog
n02085936,n02084071,dog
n02086079,n02084071,dog
